# generated by scripts/hash-check.py from PathOfBuilding/src/Data/Mod*.lua @ 16de4b82, poe1/data/mods.json and stat_translations.json @ e2bd511a, ../trade-query/data/stats-2026-09-12.json
trade_number,group,class,reason,mods,table,mod,pob_description,export_numbers,capture_categories,export_string
88817332,evasion_rating_+%_when_on_full_life,reproduced,,3,ModDelve,DelveArmourEvasionOnFullLife,(25-50)% increased Global Evasion Rating when on Full Life,88817332,explicit,{0}% increased Global Evasion Rating when on Full Life
89156964,movement_speed_+%_while_fortified,explained,number not in the capture (recipe output the site lacks),1,ModItemExclusive,MovementSpeedWhileFortifiedUber1,15% increased Movement Speed while Fortified,,not in capture,
89314980,hits_ignore_enemy_chaos_resistance_if_all_elder_items_equipped,reproduced,,1,ModItemExclusive,HitsIgnoreChaosResistanceAllElderItemsUnique__1,Hits ignore Enemy Monster Chaos Resistance if all Equipped Items are Elder Items,89314980,explicit,Hits ignore Enemy Monster Chaos Resistance if all Equipped Items are Elder Items
89922905,base_skills_cost_es_instead_of_mana_life,reproduced,,1,ModItemExclusive,SkillsCostEnergyShieldInsteadOfManaLifeUnique__1,Skills Cost Energy Shield instead of Mana or Life,89922905,explicit,Skills Cost Energy Shield instead of Mana or Life
90008414,local_display_socketed_gems_supported_by_level_x_greater_unleash,reproduced,,1,ModItemExclusive,HungryLoopSupportedByGreaterUnleash,Socketed Gems are Supported by Level 3 Greater Unleash,90008414,explicit,Socketed Gems are Supported by Level {0} Greater Unleash
90012347,global_minimum_added_lightning_damage_vs_shocked_enemies|global_maximum_added_lightning_damage_vs_shocked_enemies,reproduced,,4,ModExplicit,ChanceToShockAddedDamageUber1,Adds (3-7) to (68-73) Lightning Damage against Shocked Enemies,90012347,explicit fractured,Adds {0} to {1} Lightning Damage against Shocked Enemies
90597215,hits_cannot_be_evaded_vs_blinded_enemies,reproduced,,1,ModItemExclusive,HitsCannotBeEvadedAgainstBlindedEnemiesUnique__1,Your Hits can't be Evaded by Blinded Enemies,90597215,explicit,Your Hits can't be Evaded by Blinded Enemies
91242932,animated_minions_melee_splash,reproduced,,2,ModItemExclusive,AnimatedMinionsHaveMeleeSplashUnique__1,Animated and Manifested Minions' Melee Strikes deal Splash / Damage to surrounding targets,91242932,explicit implicit,Animated and Manifested Minions' Melee Strikes deal Splash\nDamage to surrounding targets
91505809,intimidate_enemies_on_hit_if_cast_punishment_in_past_10_seconds,reproduced,,1,ModItemExclusive,PunishmentIntimidateOnHitUnique__1,Intimidate Enemies on Hit if you've cast Punishment in the past 10 seconds,91505809,explicit,Intimidate Enemies on Hit if you've cast Punishment in the past 10 seconds
93054948,refresh_ignite_duration_on_tinctured_weapon_hit_%_chance,explained,stat group has no translation entry,1,ModItemExclusive,TinctureRefreshIgniteDurationUnique__1,(15-25)% chance to refresh Ignite Duration on Melee Weapon Hit,,explicit,
93696421,attack_damage_+%_per_450_evasion,reproduced,,1,ModItemExclusive,EvasionRatingIncreasesWeaponDamageUniqueOneHandSword9,1% increased Attack Damage per 450 Evasion Rating,93696421,explicit,{0}% increased Attack Damage per 450 Evasion Rating
96869632,local_flask_life_leech_expected_ignite_damage_permyriad_during_effect,reproduced,,1,ModVeiled,JunMasterVeiledLocalFlaskIgniteDamageLifeLeech,Leech 1.5% of Expected Ignite Damage as Life when you Ignite an Enemy during Effect,96869632,explicit,Leech {0}% of Expected Ignite Damage as Life when you Ignite an Enemy during Effect
96977651,maximum_mana_leech_rate_+%,reproduced,,2,ModExplicit,SupportedByManaLeechUberMaven__,(20-30)% increased Maximum total Mana Recovery per second from Leech,96977651,explicit implicit,{0}% increased Maximum total Mana Recovery per second from Leech
97064873,local_flask_chance_to_freeze_shock_ignite_%_while_healing,reproduced,,4,ModFlask,FlaskBuffFreezeShockIgniteChanceWhileHealing1_,"(19-22)% chance to Freeze, Shock and Ignite during Effect",97064873,explicit fractured,"{0}% chance to Freeze, Shock and Ignite during Effect"
97250660,projectiles_pierce_x_additional_targets_while_you_have_phasing,reproduced,,2,ModItemExclusive,AdditionalPierceWhilePhasingUnique__1,Projectiles Pierce 5 additional Targets while you have Phasing,97250660,explicit implicit,Projectiles Pierce an additional Target while you have Phasing
98977150,keystone_pain_attunement,reproduced,,5,ModExplicit,RecombinatorSpecialKeystonePainAttunement,Pain Attunement,98977150,explicit fractured implicit scourge,Pain Attunement
99089516,local_display_socketed_gems_get_faster_projectiles_level,reproduced,,9,ModCorrupted,V2SupportedByFasterProjectilesCorrupted,Socketed Gems are supported by Level 10 Faster Projectiles,99089516,explicit fractured implicit,Socketed Gems are supported by Level {0} Faster Projectiles
99487834,self_physical_damage_on_skill_use_%_mana_cost,reproduced,,2,ModItemExclusive,PhysicalDamageOnSkillUseUniqueHelmetInt8,Your Skills deal you 400% of Mana Spent on Upfront Skill Mana Costs as Physical Damage,99487834,explicit implicit,Your Skills deal you {0}% of Mana Spent on Upfront Skill Mana Costs as Physical Damage
99927264,base_self_shock_duration_-%,reproduced,,6,ModItemExclusive,SelfShockDurationUniqueBelt12_,100% increased Shock Duration on you,99927264,explicit fractured implicit,{0}% reduced Shock Duration on you
100088509,local_unique_jewel_dual_strike_intimidate_on_hit_while_wielding_axe_with_40_dex_in_radius,reproduced,,1,ModItemExclusive,DualStrikeThresholdJewelAxe,"With at least 40 Dexterity in Radius, Dual Strike Hits Intimidate Enemies for / 4 seconds while wielding an Axe",100088509,explicit,"With at least 40 Dexterity in Radius, Dual Strike Hits Intimidate Enemies for\n4 seconds while wielding an Axe"
100820057,local_unique_jewel_accuracy_rating_+_per_10_dex_unallocated_in_radius,reproduced,,1,ModItemExclusive,AccuracyRatingPerUnallocatedDexterityUnique__1_,+125 to Accuracy Rating per 10 Dexterity on Unallocated Passives in Radius,100820057,explicit,+{0} to Accuracy Rating per 10 Dexterity on Unallocated Passives in Radius
101715298,local_unique_jewel_caustic_arrow_damage_over_time_+%_with_40_dex_in_radius,explained,number not in the capture (recipe output the site lacks),1,ModItemExclusive,CausticArrowThresholdJewel2,"With at least 40 Dexterity in Radius, Caustic Arrow deals 40% increased Damage over Time",,not in capture,
103909236,local_display_socketed_gems_supported_by_level_x_deadly_ailments,reproduced,,1,ModItemExclusive,HungryLoopSupportedByDeadlyAilments,Socketed Gems are Supported by Level 20 Deadly Ailments,103909236,explicit,Socketed Gems are Supported by Level {0} Deadly Ailments
103928310,hit_and_ailment_damage_+%_vs_enemies_affected_by_at_least_3_spiders_webs,reproduced,,1,ModItemExclusive,DamageAgainstEnemiesWith3WebsUnique__1_,(40-60)% increased Damage with Hits and Ailments against Enemies affected by 3 Spider's Webs,103928310,explicit,{0}% increased Damage with Hits and Ailments against Enemies affected by 3 Spider's Webs
103999915,cast_speed_increase_from_arcane_surge_also_applies_to_move_speed,reproduced,,1,ModItemExclusive,ArcaneSurgeMovementSpeedUnique,Increases to Cast Speed from Arcane Surge also applies to Movement Speed,103999915,explicit,Increases to Cast Speed from Arcane Surge also applies to Movement Speed
105466375,local_display_grants_skill_purity_level,reproduced,,3,ModCorrupted,PuritySkillCorrupted,Grants Level 15 Purity of Elements Skill,105466375,explicit implicit,Grants Level {0} Purity of Elements Skill
107118693,local_display_socketed_gems_supported_by_level_x_fortify,reproduced,,9,ModCorrupted,V2SupportedByFortifyCorrupted_,Socketed Gems are Supported by Level 10 Fortify,107118693,explicit fractured implicit,Socketed Gems are Supported by Level {0} Fortify
107161577,mace_critical_strike_chance_+%,explained,number not in the capture (recipe output the site lacks),1,ModJewel,CritChanceWithMaceJewel,(12-16)% increased Critical Strike Chance with Maces or Sceptres,,not in capture,
108334292,gain_divine_charge_on_hit_%,reproduced,,1,ModItemExclusive,DivineChargeOnHitUnique__1_,Gain a Divine Charge on Hit,108334292,explicit,{0}% chance to gain a Divine Charge on Hit
109671187,steel_steal_cast_speed_+%,reproduced,,2,ModItemExclusive,CallOfSteelUseSpeedUnique__1,Call of Steel has (80-100)% increased Use Speed,109671187,explicit,Call of Steel has {0}% increased Use Speed
112130960,keystone_solipsism,reproduced,,3,ModExplicit,RecombinatorSpecialKeystoneSolipsism,Solipsism,112130960,explicit scourge,Solipsism
113147867,lose_%_of_mana_when_you_use_an_attack_skill,reproduced,,1,ModItemExclusive,LoseManaOnAttackSkillUnique__1,Lose 3% of Mana when you use an Attack Skill,113147867,explicit,Lose {0}% of Mana when you use an Attack Skill
113536037,enemies_in_presence_and_you_count_as_moving_when_affected_by_elemental_ailments,reproduced,,2,ModItemExclusive,EnemiesCountAsMovingElementalAilmentsUnique__1,You and Enemies in your Presence count as moving while affected by Elemental Ailments,113536037,explicit implicit,You and Enemies in your Presence count as moving while affected by Elemental Ailments
114734841,flask_effect_+%,reproduced,,34,ModEldritch,FlaskEffectEldritchImplicit1,Flasks applied to you have (6-7)% increased Effect,114734841,crafted explicit fractured implicit,Flasks applied to you have {0}% increased Effect
115109959,energy_shield_regeneration_rate_per_minute_%_while_on_low_life,reproduced,,1,ModItemExclusive,EnergyShieldRegenerationperMinuteWhileOnLowLifeTransformedUnique__1,Regenerate 2% of Energy Shield per second while on Low Life,115109959,explicit,Regenerate {0}% of Energy Shield per second while on Low Life
115351487,avoid_elemental_ailments_%_while_phasing,reproduced,,3,ModItemExclusive,ChanceToDodgeSpellsWhilePhasing_Unique_1,30% chance to Avoid Elemental Ailments while Phasing,115351487,explicit,{0}% chance to Avoid Elemental Ailments while Phasing
115695112,elemental_skills_deal_triple_damage,reproduced,,1,ModItemExclusive,ElementalSkillsTripleDamageUnique__1,Deal Triple Damage with Elemental Skills,115695112,explicit,Deal Triple Damage with Elemental Skills
116232170,local_tincture_mod_effect_+%,explained,stat group has no translation entry,6,ModTincture,TinctureEffectFasterToxicity1,(47-51)% increased Mana Burn rate,,explicit,
116232170,local_tincture_toxicity_rate_+%,explained,stat group has no translation entry,6,ModItemExclusive,TinctureToxicityRateUnique__1,(15-25)% reduced Mana Burn rate,,explicit,
116621037,immune_to_curses,reproduced,,1,ModFoulborn,MutatedUniqueBootsStr1CurseImmunity,You are Immune to Curses,116621037,explicit,You are Immune to Curses
117667746,mine_duration_+%,reproduced,,2,ModExplicit,MineDetonationSpeedAndDurationEnhancedLevel50Mod_,(17-20)% increased Mine Duration,117667746,explicit fractured,{0}% increased Mine Duration
117885424,minimum_added_chaos_damage_to_attacks_per_50_strength|maximum_added_chaos_damage_to_attacks_per_50_strength,reproduced,,2,ModItemExclusive,AddedChaosDamageToAttacksPer50StrengthUnique__1,Adds 1 to 80 Chaos Damage to Attacks per 80 Strength,117885424,explicit implicit,Adds {0} to {1} Chaos Damage to Attacks per 80 Strength
118398748,trap_throwing_speed_+%,reproduced,,39,ModEldritch,TrapThrowSpeedEldritchImplicit1,8% increased Trap Throwing Speed,118398748,crafted explicit fractured implicit scourge,{0}% increased Trap Throwing Speed
120895749,life_gain_on_ignited_enemy_hit,reproduced,,3,ModExplicit,BreachBodyLifeGainedOnHittingIgnitedEnemies1,Gain (20-30) Life for each Ignited Enemy hit with Attacks,120895749,explicit fractured,Gain {0} Life for each Ignited Enemy hit with Attacks
121185030,unique_monster_dropped_item_rarity_+%,reproduced,,3,ModExplicit,SupportedByItemRarityUber1,(8-12)% increased Rarity of Items found from Slain Unique Enemies,121185030,explicit fractured,{0}% increased Rarity of Items found from Slain Unique Enemies
122450405,attack_speed_while_fortified_+%,reproduced,,4,ModExplicit,AttackSpeedWithFortifyInfluence1,(10-12)% increased Attack Speed while Fortified,122450405,explicit fractured,{0}% increased Attack Speed while Fortified
122841557,local_socketed_strength_gem_quality_+,reproduced,,2,ModSynthesis,SynthesisImplicitStrengthGemQuality1,+(2-3)% to Quality of Socketed Strength Gems,122841557,implicit,{0}% to Quality of Socketed Strength Gems
124131830,spell_skill_gem_level_+,reproduced,,10,ModExplicit,GlobalSpellGemsLevel1,+1 to Level of all Spell Skill Gems,124131830,enchant explicit fractured scourge,{0} to Level of all Spell Skill Gems
124226929,local_display_socketed_gems_supported_by_level_x_controlled_blaze,reproduced,,1,ModItemExclusive,HungryLoopSupportedByControlledBlaze,Socketed Gems are Supported by Level 20 Controlled Blaze,124226929,explicit,Socketed Gems are Supported by Level {0} Controlled Blaze
124458098,local_display_grants_biting_braid_skill_level_x,reproduced,,1,ModItemExclusive,BitingBraidUniqueBelt52,Grants Level 20 Caustic Retribution,124458098,explicit,Grants Level {0} Caustic Retribution
124859000,local_evasion_rating_+%,reproduced,,72,ModDelve,DelveArmourEvasion1,(25-50)% increased Evasion Rating,124859000,crafted explicit fractured implicit,{0}% increased Evasion Rating
125218179,base_number_of_spectres_allowed,reproduced,,20,ModDelve,MaximumMinionCountZombieDelve,,125218179,enchant explicit fractured,{0} to maximum number of Spectres
125312907,local_display_trigger_level_X_blinding_aura_skill_on_equip,reproduced,,1,ModItemExclusive,BlindingAuraSkillUnique__1,Triggers Level 20 Blinding Aura when Equipped,125312907,explicit,Triggers Level {0} Blinding Aura when Equipped
128585622,minion_larger_aggro_radius,reproduced,,4,ModDelve,MinionLargerAggroRadiusDelve,Minions are Aggressive,128585622,explicit fractured implicit,Minions are Aggressive
128830932,local_display_grants_level_X_ghost_cannons,explained,number not in the capture (recipe output the site lacks),1,ModExplicit,DeepwaterSwordGrantedSkillGhostCannons,,,not in capture,
128992179,physical_damage_%_to_add_as_fire_if_have_used_ruby_flask_recently,reproduced,,1,ModItemExclusive,PhysicalAddedAsFireIfUsedRubyFlaskRecentlyUnique__1,Gain (20-40)% of Physical Damage as Extra Fire Damage if you've / used a Ruby Flask Recently,128992179,explicit,Gain {0}% of Physical Damage as Extra Fire Damage if you've\nused a Ruby Flask Recently
129035625,physical_reflect_damage_taken_and_minion_physical_reflect_damage_taken_+%,reproduced,,11,ModExplicit,ReducedPhysicalReflectTakenUber1,You and your Minions take 100% reduced Reflected Physical Damage,129035625,explicit fractured scourge,You and your Minions take {0}% increased Reflected Physical Damage
129138230,cannot_cause_bleeding,explained,number not in the capture (recipe output the site lacks),1,ModScourge,HellscapeDownsideCannotApplyBleed1,Attacks cannot cause Bleeding,,not in capture,
130616495,travel_skills_poison_reflected_to_self_up_to_5_poisons,reproduced,,1,ModItemExclusive,TravelSkillsReflectPoisonUnique__1,Poison you inflict with Travel Skills is Reflected to you if you / have fewer than 5 Poisons on you,130616495,explicit,Poison you inflict with Travel Skills is Reflected to you if you\nhave fewer than 5 Poisons on you
131358113,local_affliction_notable_exposure_therapy,reproduced,,1,ModJewelCluster,AfflictionNotableExposureTherapy_,1 Added Passive Skill is Exposure Therapy,131358113,explicit fractured,1 Added Passive Skill is Exposure Therapy
131940510,graft_skill_minion_attacks_chance_to_taunt_on_hit_%,explained,stat group has no translation entry,1,ModGraft,GraftSuffixMinionTauntOnHit1,Minions summoned by this Graft have (10-20)% chance to Taunt on Hit,,explicit,
133683091,attack_minimum_added_physical_damage_with_wands|attack_maximum_added_physical_damage_with_wands,reproduced,,5,ModJewelAbyss,AbyssAddedPhysicalDamageWithWandsJewel1_,2 to 3 Added Physical Damage with Wand Attacks,133683091,explicit fractured,{0} to {1} Added Physical Damage with Wand Attacks
133804429,overcapped_fire_resistance_gain_as_fire_penetration,reproduced,,1,ModItemExclusive,OvercappedFireResistanceAsFirePrenetrationUnique__1,"Damage Penetrates Fire Resistance equal to your Overcapped Fire Resistance, up to a maximum of 200%",133804429,explicit,"Damage Penetrates Fire Resistance equal to your Overcapped Fire Resistance, up to a maximum of 200%"
